"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_D_contact","expr:C_Lift","expr:C_Lift_contact","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
0.64817,7,2.9343e+06,1,6552,1.225,139.97,0.37745,0.41399,0.072162,0.082996,-1370.8,0.16738,192.15,313.71,-8.8707e+06,-8.8707e+06,0,6649.8,332.12,195.78,1.2373,2.1577,49.599,8.5017,-0.21881,-12.428,15.111,1.7894e-05,8.6795e-05,5401.8,0,8.5017,0,-0.21881,-12.428,1,-0.25852,0,-0.18101
0.63231,7,2.9234e+06,1,6552,1.225,142.31,0.37745,0.41399,0.072162,0.082996,-1257.7,0.14138,187.45,306.04,-5.8128e+06,-5.8128e+06,0,5664.7,329.75,157.89,1.1549,1.8939,49.047,8.8562,-0.22295,-12.325,15.234,1.7894e-05,9.5725e-05,4693.6,0,8.8562,0,-0.22295,-12.325,1,-0.25532,0,-0.1855
0.61619,7,2.9142e+06,1,6552,1.225,147.87,0.37745,0.41399,0.072162,0.082996,-1465.2,0.14535,182.67,298.23,-4.3431e+06,-4.3431e+06,0,5782.4,330.54,147.46,1.1349,1.8035,45.2,9.2403,-0.22544,-12.416,15.532,1.7894e-05,7.8812e-05,5001,0,9.2403,0,-0.22544,-12.416,1,-0.25204,0,-0.18993
0.60058,7,2.9102e+06,1,6552,1.225,149.47,0.37745,0.41399,0.072162,0.082996,-1665.7,0.11119,178.04,290.68,-4.0219e+06,-4.0219e+06,0,4901.5,327.51,113.16,1.0432,1.5527,47.243,9.5844,-0.23511,-12.244,15.609,1.7894e-05,9.7987e-05,4067.8,0,9.5844,0,-0.23511,-12.244,1,-0.24869,0,-0.1943
0.58459,7,2.9077e+06,1,6552,1.225,155.48,0.37745,0.41399,0.072162,0.082996,-2350.2,0.11493,173.3,282.94,-4.9385e+06,-4.9385e+06,0,5423.5,328.78,109.19,1.031,1.5044,44.58,9.9829,-0.24146,-12.329,15.922,1.7894e-05,8.2036e-05,4503,0,9.9829,0,-0.24146,-12.329,1,-0.24526,0,-0.19861
0.56869,7,2.9084e+06,1,6552,1.225,163.66,0.37745,0.41399,0.072162,0.082996,-3415.7,0.13434,168.59,275.25,-6.6532e+06,-6.6532e+06,0,6666.6,332.25,116.43,1.0566,1.5443,40.056,10.415,-0.24185,-12.528,16.342,1.7894e-05,5.2825e-05,5603.6,0,10.415,0,-0.24185,-12.528,1,-0.24176,0,-0.20286
0.55391,7,2.9149e+06,1,6552,1.225,168.65,0.37745,0.41399,0.072162,0.082996,-3563.8,0.1314,164.21,268.09,-6.7581e+06,-6.7581e+06,0.0046109,6794.2,332.86,109.06,1.0351,1.4785,38.642,10.795,-0.23336,-12.559,16.607,1.7894e-05,4.7812e-05,5728.1,0.0028242,10.795,0.040443,-0.23336,-12.559,1,-0.23818,0,-0.20705
0.53868,7,2.9213e+06,1,6552,1.225,172.98,0.37745,0.41399,0.072162,0.082996,-3874.2,0.12643,159.69,260.72,-6.408e+06,-6.408e+06,0.0071589,6690.2,332.67,101.05,1.0093,1.4059,37.58,11.158,-0.22032,-12.531,16.83,1.7894e-05,4.5607e-05,5673.2,0.0043848,11.158,0.064284,-0.22032,-12.531,1,-0.23453,0,-0.21117
0.52509,7,2.9252e+06,1,6552,1.225,172.33,0.37745,0.41399,0.072162,0.082996,-3283.7,0.10053,155.66,254.14,-5.2802e+06,-5.2802e+06,0,5443.8,327.99,79.685,0.93729,1.2359,39.863,11.394,-0.22321,-12.219,16.767,1.7894e-05,6.2039e-05,4471.8,0,11.394,0,-0.22321,-12.219,1,-0.23081,0,-0.21523
0.51185,7,2.9291e+06,1,6552,1.225,173.84,0.37745,0.41399,0.072162,0.082996,-3110.4,0.085664,151.74,247.73,-4.7797e+06,-4.7797e+06,0,4819,325.57,66.837,0.88888,1.1211,40.448,11.695,-0.22421,-12.025,16.839,1.7894e-05,6.8624e-05,3859.3,0,11.695,0,-0.22421,-12.025,1,-0.22702,0,-0.21923
