"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_Lift","helicity","laminar_kinetic_energy","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
-0.2569,7,3.5245e+06,1,6552,1.225,12.635,0.38162,0.10885,3931.5,1.0707,-124.34,-2.4326e+06,-2.4326e+06,0,20181,-63.522,2450.6,2.4288,7.7906,54.923,-2.9297,0.12843,3.1613,4.3387,1.7894e-05,0.00010428,20099,0,-2.9297,0,0.12843,3.1613,1,0.23453,0,0.21117
-0.26602,7,3.6571e+06,1,6552,1.225,16.093,0.38162,0.10885,5206.4,1.0957,-128.75,-2.3063e+06,-2.3063e+06,0,21648,-62.768,2412.5,2.4145,7.6614,53.357,-3.3728,0.16085,3.5413,4.9117,1.7894e-05,9.6469e-05,21572,0,-3.3728,0,0.16085,3.5413,1,0.23081,0,0.21523
-0.27563,7,3.8057e+06,1,6552,1.225,18.309,0.38162,0.10885,6421.2,1.0953,-133.4,-1.7876e+06,-1.7876e+06,0,21365,-63.401,2289.5,2.3906,7.4876,53.113,-3.687,0.20504,3.7485,5.275,1.7894e-05,9.3541e-05,21302,0,-3.687,0,0.20504,3.7485,1,0.22702,0,0.21923
-0.28563,7,3.9761e+06,1,6552,1.225,18.278,0.38162,0.10885,6424.4,1.0648,-138.24,-1.0685e+06,-1.0685e+06,0,18674,-66.397,2072.6,2.3564,7.2693,54.755,-3.8029,0.2359,3.73,5.3415,1.7894e-05,9.6912e-05,18627,0,-3.8029,0,0.2359,3.73,1,0.22316,0,0.22316
-0.29574,7,4.117e+06,1,6552,1.225,22.559,0.38162,0.10885,7655.1,1.0967,-143.14,-1.0981e+06,-1.0981e+06,0,20593,-65.113,2084.9,2.3523,7.2096,53.044,-4.2742,0.25293,4.0717,5.9147,1.7894e-05,8.9357e-05,20549,0,-4.2742,0,0.25293,4.0717,1,0.21923,0,0.22702
-0.30588,7,4.2661e+06,1,6552,1.225,24.77,0.38162,0.10885,8321.2,1.1001,-148.05,-9.843e+05,-9.843e+05,0,20413,-65.909,2011,2.338,7.1042,52.936,-4.5644,0.28018,4.2078,6.2184,1.7894e-05,8.7263e-05,20372,0,-4.5644,0,0.28018,4.2078,1,0.21523,0,0.23081
-0.31601,7,4.3462e+06,1,6552,1.225,24.615,0.38162,0.10885,7681.2,1.0799,-152.95,-7.9828e+05,-7.9828e+05,0,18301,-69.066,1870.3,2.3167,6.9736,54.718,-4.6565,0.29334,4.1479,6.2457,1.7894e-05,9.1578e-05,18261,0,-4.6565,0,0.29334,4.1479,1,0.21117,0,0.23453
-0.32605,7,4.3626e+06,1,6552,1.225,26.995,0.38162,0.10885,7792.4,1.0935,-157.81,-8.3312e+05,-8.3312e+05,0,18591,-69.663,1845.8,2.3132,6.9352,54.231,-4.9556,0.29332,4.2718,6.551,1.7894e-05,8.7938e-05,18550,0,-4.9556,0,0.29332,4.2718,1,0.20705,0,0.23818
-0.3359,7,4.3256e+06,1,6552,1.225,29.846,0.38162,0.10885,8065.3,1.1111,-162.58,-9.2727e+05,-9.2727e+05,0,19361,-69.732,1844.4,2.314,6.9227,53.575,-5.2804,0.29204,4.4022,6.8821,1.7894e-05,8.4349e-05,19317,0,-5.2804,0,0.29204,4.4022,1,0.20286,0,0.24176
-0.34561,7,4.3048e+06,1,6552,1.225,30.236,0.38162,0.10885,7328.9,1.1053,-167.27,-9.1399e+05,-9.1399e+05,0,18458,-72.219,1782.2,2.3088,6.8927,55.27,-5.393,0.28417,4.3445,6.9322,1.7894e-05,8.9559e-05,18413,0,-5.393,0,0.28417,4.3445,1,0.19861,0,0.24526
-0.35509,7,4.3797e+06,1,6552,1.225,31.486,0.38162,0.10885,6796.6,1.1153,-171.87,-9.5755e+05,-9.5755e+05,0,18400,-73.782,1768.8,2.3139,6.9188,56.009,-5.5758,0.26713,4.3396,7.0715,1.7894e-05,9.1081e-05,18353,0,-5.5758,0,0.26713,4.3396,1,0.1943,0,0.24869
