"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_D_contact","expr:C_Lift","expr:C_Lift_contact","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
-0.61065,7,1.0346e+07,1,6552,1.225,53.979,0.41222,0.45044,0.062609,0.070707,-296.7,2.9237,-181.03,-295.55,2.2028e+06,2.2028e+06,0,41159,-127.05,15450,3.9607,20.645,66.535,8.609,-0.018384,3.2896,9.2163,1.7894e-05,0.00014701,41218,0,8.609,0,-0.018384,3.2896,1,-0.1131,0,0.29463
-0.58918,7,1.0348e+07,1,6552,1.225,53.116,0.41222,0.45044,0.062609,0.070707,-880.16,2.9343,-174.66,-285.16,2.1673e+06,2.1673e+06,0,41957,-121.55,15621,3.9652,20.689,66.058,8.4725,-0.027097,3.4161,9.1355,1.7894e-05,0.00014479,42013,0,8.4725,0,-0.027097,3.4161,1,-0.11822,0,0.29261
-0.56711,7,1.0348e+07,1,6552,1.225,53.124,0.41222,0.45044,0.062609,0.070707,-621.18,2.9087,-168.12,-274.48,2.1544e+06,2.1544e+06,0,41665,-114.99,15462,3.9542,20.584,66.037,8.4144,-0.025081,3.5648,9.1387,1.7894e-05,0.00014493,41721,0,8.4144,0,-0.025081,3.5648,1,-0.12331,0,0.2905
-0.54468,7,1.0346e+07,1,6552,1.225,53.406,0.41222,0.45044,0.062609,0.070707,-744.83,2.8779,-161.47,-263.62,2.1917e+06,2.1917e+06,0,41028,-108.06,15306,3.946,20.518,66.477,8.3777,-0.026333,3.7207,9.1672,1.7894e-05,0.00014709,41087,0,8.3777,0,-0.026333,3.7207,1,-0.12836,0,0.28831
-0.52143,7,1.0347e+07,1,6552,1.225,52.075,0.41222,0.45044,0.062609,0.070707,-593.1,2.8885,-154.58,-252.37,2.1514e+06,2.1514e+06,0,41923,-102.5,15396,3.9435,20.479,65.591,8.2005,-0.026097,3.813,9.0441,1.7894e-05,0.0001433,41979,0,8.2005,0,-0.026097,3.813,1,-0.13337,0,0.28602
-0.49724,7,1.0344e+07,1,6552,1.225,50.092,0.41222,0.45044,0.062609,0.070707,-1186.1,2.922,-147.41,-240.66,2.2385e+06,2.2385e+06,0,43255,-97.315,15646,3.9505,20.529,64.626,7.9639,-0.036068,3.8767,8.8577,1.7894e-05,0.00013894,43312,0,7.9639,0,-0.036068,3.8767,1,-0.13835,0,0.28365
-0.47246,7,1.034e+07,1,6552,1.225,49.449,0.41222,0.45044,0.062609,0.070707,-697.19,2.9075,-140.06,-228.67,2.259e+06,2.259e+06,0,43331,-90.611,15584,3.9433,20.458,64.431,7.8424,-0.029184,3.9873,8.7983,1.7894e-05,0.00013826,43388,0,7.8424,0,-0.029184,3.9873,1,-0.14327,0,0.28119
-0.44704,7,1.0338e+07,1,6552,1.225,48.799,0.41222,0.45044,0.062609,0.070707,-1088.5,2.8757,-132.52,-216.37,2.1248e+06,2.1248e+06,0,43310,-83.725,15337,3.9227,20.245,63.884,7.7213,-0.035512,4.091,8.7387,1.7894e-05,0.00013633,43364,0,7.7213,0,-0.035512,4.091,1,-0.14816,0,0.27865
-0.42088,7,1.0343e+07,1,6552,1.225,46.435,0.41222,0.45044,0.062609,0.070707,-1330,2.9244,-124.77,-203.71,2.1473e+06,2.1473e+06,0,44532,-78.334,15665,3.9379,20.377,63.238,7.4498,-0.040345,4.1175,8.5124,1.7894e-05,0.00013314,44585,0,7.4498,0,-0.040345,4.1175,1,-0.153,0,0.27602
-0.39321,7,1.0345e+07,1,6552,1.225,44.762,0.41222,0.45044,0.062609,0.070707,-782.11,2.9107,-116.57,-190.32,1.6896e+06,1.6896e+06,0,45623,-71.807,15561,3.919,20.167,61.844,7.2354,-0.034136,4.1681,8.3506,1.7894e-05,0.00012738,45665,0,7.2354,0,-0.034136,4.1681,1,-0.15779,0,0.27331
-0.36661,7,1.0339e+07,1,6552,1.225,44.569,0.41222,0.45044,0.062609,0.070707,-1427.9,2.8819,-108.68,-177.44,2.1882e+06,2.1882e+06,0,44929,-64.113,15425,3.9125,20.121,62.401,7.1467,-0.043444,4.2831,8.3325,1.7894e-05,0.00012988,44982,0,7.1467,0,-0.043444,4.2831,1,-0.16254,0,0.27051
-0.33919,7,1.0335e+07,1,6552,1.225,43.018,0.41222,0.45044,0.062609,0.070707,-1295.7,2.8797,-100.55,-164.17,2.2889e+06,2.2889e+06,0,45305,-57.534,15337,3.9018,19.995,61.665,6.9465,-0.043471,4.3248,8.1834,1.7894e-05,0.00012689,45360,0,6.9465,0,-0.043471,4.3248,1,-0.16724,0,0.26764
-0.31045,7,1.0326e+07,1,6552,1.225,42.494,0.41222,0.45044,0.062609,0.070707,-1597.2,2.8298,-92.034,-150.26,1.9423e+06,1.9423e+06,0,44703,-49.54,15007,3.8789,19.777,61.699,6.8284,-0.046363,4.4157,8.1325,1.7894e-05,0.00012742,44751,0,6.8284,0,-0.046363,4.4157,1,-0.17188,0,0.26468
-0.28141,7,1.0314e+07,1,6552,1.225,41.695,0.41222,0.45044,0.062609,0.070707,-1363.7,2.7997,-83.423,-136.2,2.0098e+06,2.0098e+06,0,44336,-41.728,14806,3.8651,19.647,61.801,6.6828,-0.044598,4.4913,8.0525,1.7894e-05,0.00012794,44386,0,6.6828,0,-0.044598,4.4913,1,-0.17648,0,0.26164
-0.25279,7,1.032e+07,1,6552,1.225,38.859,0.41222,0.45044,0.062609,0.070707,-1587.3,2.8507,-74.94,-122.35,2.2153e+06,2.2153e+06,0,45972,-36.08,15104,3.8753,19.715,60.667,6.3631,-0.050846,4.437,7.7581,1.7894e-05,0.00012283,46025,0,6.3631,0,-0.050846,4.437,1,-0.18101,0,0.25852
-0.22222,7,1.0319e+07,1,6552,1.225,38.021,0.41222,0.45044,0.062609,0.070707,-1797.6,2.7915,-65.878,-107.56,1.8147e+06,1.8147e+06,0,45685,-27.857,14665,3.8403,19.367,59.991,6.2188,-0.051282,4.4982,7.6761,1.7894e-05,0.00012048,45729,0,6.2188,0,-0.051282,4.4982,1,-0.1855,0,0.25532
-0.19224,7,1.0319e+07,1,6552,1.225,37.519,0.41222,0.45044,0.062609,0.070707,-1702.6,2.7451,-56.989,-93.043,1.9355e+06,1.9355e+06,0,44809,-19.47,14374,3.8224,19.209,60.463,6.0966,-0.053129,4.5745,7.6231,1.7894e-05,0.00012265,44857,0,6.0966,0,-0.053129,4.5745,1,-0.18993,0,0.25204
-0.16163,7,1.0328e+07,1,6552,1.225,36.687,0.41222,0.45044,0.062609,0.070707,-1746.8,2.6945,-47.914,-78.227,1.8686e+06,1.8686e+06,0,44192,-11.227,14024,3.7972,18.971,60.446,5.9477,-0.053548,4.6265,7.5363,1.7894e-05,0.00012286,44238,0,5.9477,0,-0.053548,4.6265,1,-0.1943,0,0.24869
-0.1314,7,1.0328e+07,1,6552,1.225,34.328,0.41222,0.45044,0.062609,0.070707,-1779.3,2.7202,-38.953,-63.597,1.9579e+06,1.9579e+06,0,44879,-4.6248,14102,3.7989,18.963,59.851,5.6673,-0.054346,4.5661,7.2791,1.7894e-05,0.00012006,44927,0,5.6673,0,-0.054346,4.5661,1,-0.19861,0,0.24526
-0.099572,7,1.0327e+07,1,6552,1.225,31.475,0.41222,0.45044,0.062609,0.070707,-2203,2.7407,-29.518,-48.193,1.6853e+06,1.6853e+06,0,46595,1.9572,14206,3.7935,18.881,58.401,5.3358,-0.061316,4.4581,6.9549,1.7894e-05,0.00011368,46635,0,5.3358,0,-0.061316,4.4581,1,-0.20286,0,0.24176
-0.068921,7,1.0325e+07,1,6552,1.225,29.954,0.41222,0.45044,0.062609,0.070707,-1958.6,2.7215,-20.432,-33.358,1.8506e+06,1.8506e+06,0,46875,9.5226,14035,3.7761,18.698,57.757,5.1269,-0.058471,4.4335,6.7791,1.7894e-05,0.00011119,46919,0,5.1269,0,-0.058471,4.4335,1,-0.20705,0,0.23818
-0.037418,7,1.0309e+07,1,6552,1.225,27.372,0.41222,0.45044,0.062609,0.070707,-2592.1,2.739,-11.093,-18.11,1.8398e+06,1.8398e+06,0,48095,16.279,14040,3.7683,18.589,56.496,4.8213,-0.066959,4.3186,6.474,1.7894e-05,0.00010564,48137,0,4.8213,0,-0.066959,4.3186,1,-0.21117,0,0.23453
-0.0057824,7,1.0305e+07,1,6552,1.225,25.728,0.41222,0.45044,0.062609,0.070707,-2473.6,2.7159,-1.7142,-2.7987,1.6825e+06,1.6825e+06,0,48338,24.014,13845,3.7497,18.401,55.999,4.5913,-0.065048,4.258,6.2632,1.7894e-05,0.00010377,48377,0,4.5913,0,-0.065048,4.258,1,-0.21523,0,0.23081
0.025718,7,1.0305e+07,1,6552,1.225,24.173,0.41222,0.45044,0.062609,0.070707,-2404.2,2.6948,7.6242,12.448,1.6651e+06,1.6651e+06,0,48540,31.797,13664,3.7324,18.229,55.557,4.3689,-0.064449,4.1951,6.0583,1.7894e-05,0.00010207,48578,0,4.3689,0,-0.064449,4.1951,1,-0.21923,0,0.22702
0.05756,7,1.0305e+07,1,6552,1.225,22.648,0.41222,0.45044,0.062609,0.070707,-2655.5,2.6686,17.064,27.859,1.6038e+06,1.6038e+06,0,48674,39.712,13445,3.7123,18.029,55.095,4.1474,-0.068433,4.1244,5.8505,1.7894e-05,0.00010036,48711,0,4.1474,0,-0.068433,4.1244,1,-0.22316,0,0.22316
0.089415,7,1.031e+07,1,6552,1.225,20.791,0.41222,0.45044,0.062609,0.070707,-2582.8,2.6583,26.507,43.277,1.532e+06,1.532e+06,0,49124,47.298,13306,3.6974,17.871,54.434,3.897,-0.06739,4.0119,5.5946,1.7894e-05,9.7574e-05,49158,0,3.897,0,-0.06739,4.0119,1,-0.22702,0,0.21923
0.12132,7,1.0311e+07,1,6552,1.225,19.142,0.41222,0.45044,0.062609,0.070707,-2884.2,2.6293,35.966,58.719,1.4363e+06,1.4363e+06,0,49474,55.107,13059,3.6727,17.626,53.617,3.6659,-0.072116,3.9067,5.3591,1.7894e-05,9.4427e-05,49506,0,3.6659,0,-0.072116,3.9067,1,-0.23081,0,0.21523
0.15286,7,1.0312e+07,1,6552,1.225,17.696,0.41222,0.45044,0.062609,0.070707,-2891.1,2.605,45.316,73.986,1.4069e+06,1.4069e+06,0,49444,63.012,12833,3.6536,17.44,53.345,3.4467,-0.072213,3.8013,5.1332,1.7894e-05,9.3421e-05,49476,0,3.4467,0,-0.072213,3.8013,1,-0.23453,0,0.21117
0.18438,7,1.0314e+07,1,6552,1.225,15.777,0.41222,0.45044,0.062609,0.070707,-3069.8,2.598,54.661,89.242,1.3353e+06,1.3353e+06,0,50158,70.437,12708,3.6379,17.272,52.451,3.1839,-0.074282,3.6353,4.8345,1.7894e-05,8.9736e-05,50188,0,3.1839,0,-0.074282,3.6353,1,-0.23818,0,0.20705
0.21584,7,1.0315e+07,1,6552,1.225,14.207,0.41222,0.45044,0.062609,0.070707,-3204.7,2.5761,63.986,104.47,1.2761e+06,1.2761e+06,0,50494,78.193,12502,3.6172,17.066,51.789,2.9513,-0.076285,3.4898,4.5726,1.7894e-05,8.7151e-05,50523,0,2.9513,0,-0.076285,3.4898,1,-0.24176,0,0.20286
