"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_L","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
0.93226,7,1.1388e+07,1,5688,1.225,9.9128,0.37528,0.023894,-1200.6,6.6877e-05,276.37,451.21,-9.5816e+05,-9.5816e+05,0,42204,286.28,0.00014019,0.0098262,7.8772e-05,0.2656,-0.4709,-0.024898,-3.1839,3.3633,1.7894e-05,1.9922e-11,42184,0,-0.4709,0,-0.024898,-3.1839,1,-0.31191,0,0.049402
0.94154,7,1.1596e+07,1,5688,1.225,11.534,0.37528,0.023894,-618.88,6.6631e-05,279.12,455.71,-1.117e+06,-1.117e+06,0,41520,290.65,0.00013877,0.0098129,7.8613e-05,0.26357,-0.47569,-0.015273,-3.6138,3.6516,1.7894e-05,2.0122e-11,41496,0,-0.47569,0,-0.015273,-3.6138,1,-0.31273,0,0.043951
0.94944,7,1.1504e+07,1,5688,1.225,13.47,0.37528,0.023894,-1386.1,6.6335e-05,281.46,459.53,-1.2034e+06,-1.2034e+06,0,41294,294.93,0.00013742,0.0097979,7.8472e-05,0.26172,-0.46542,-0.027451,-4.0445,4.0728,1.7894e-05,2.0019e-11,41268,0,-0.46542,0,-0.027451,-4.0445,1,-0.31345,0,0.038486
0.95654,7,1.1669e+07,1,5688,1.225,15.433,0.37528,0.023894,-1197.4,6.592e-05,283.57,462.96,-1.5212e+06,-1.5212e+06,0,40962,299,0.00013588,0.0097742,7.8181e-05,0.25966,-0.43562,-0.022871,-4.4447,4.4669,1.7894e-05,1.9938e-11,40927,0,-0.43562,0,-0.022871,-4.4447,1,-0.31407,0,0.03301
0.96222,7,1.1717e+07,1,5688,1.225,17.496,0.37528,0.023894,-718.54,6.5457e-05,285.25,465.72,-1.351e+06,-1.351e+06,0,40701,302.75,0.00013418,0.0097443,7.7756e-05,0.25747,-0.39249,-0.017823,-4.8277,4.8443,1.7894e-05,1.9734e-11,40671,0,-0.39249,0,-0.017823,-4.8277,1,-0.3146,0,0.027524
0.96787,7,1.1855e+07,1,5688,1.225,19.529,0.37528,0.023894,-1046.3,6.4542e-05,286.93,468.45,-1.4624e+06,-1.4624e+06,0,40532,306.45,0.00013194,0.0096948,7.721e-05,0.25467,-0.33187,-0.021341,-5.1777,5.189,1.7894e-05,1.9514e-11,40498,0,-0.33187,0,-0.021341,-5.1777,1,-0.31503,0,0.022029
0.97285,7,1.1865e+07,1,5688,1.225,21.847,0.37528,0.023894,-1023.9,6.3291e-05,288.4,470.86,-1.5517e+06,-1.5517e+06,0,40001,310.25,0.00012917,0.0096223,7.6328e-05,0.25128,-0.26214,-0.021539,-5.5563,5.5629,1.7894e-05,1.9309e-11,39964,0,-0.26214,0,-0.021539,-5.5563,1,-0.31537,0,0.016528
0.97689,7,1.1598e+07,1,5688,1.225,24.186,0.37528,0.023894,-997.35,6.1945e-05,289.6,472.81,-1.5333e+06,-1.5333e+06,0,39624,313.78,0.00012624,0.0095459,7.5453e-05,0.248,-0.17553,-0.021072,-5.9082,5.9114,1.7894e-05,1.8993e-11,39588,0,-0.17553,0,-0.021072,-5.9082,1,-0.31561,0,0.011021
0.98023,7,1.1394e+07,1,5688,1.225,26.9,0.37528,0.023894,146.32,6.0892e-05,290.59,474.43,-1.6812e+06,-1.6812e+06,0,39055,317.49,0.00012337,0.0094645,7.4174e-05,0.2446,-0.082269,-0.0048361,-6.2924,6.2933,1.7894e-05,1.8602e-11,39014,0,-0.082269,0,-0.0048361,-6.2924,1,-0.31575,0,0.0055115
0.98321,7,1.1184e+07,1,5688,1.225,29.709,0.37528,0.023894,-87.976,5.9584e-05,291.47,475.87,-1.7613e+06,-1.7613e+06,0,38985,321.18,0.00012084,0.0093897,7.3364e-05,0.24077,0.028801,-0.0036144,-6.6593,6.6598,1.7894e-05,1.8071e-11,38941,0,0.028801,0,-0.0036144,-6.6593,1,-0.3158,0,3.8674e-17
